Date,Deaths,Covid Cases,State 
9/11/2020,3,1115,Virginia
9/11/2020,13,1180,Arkansas
9/11/2020,0,7,Vermont
9/11/2020,32,1138,Alabama
9/11/2020,6,544,Washington
9/11/2020,1,109,Alaska
9/11/2020,4,1443,Wisconsin
9/11/2020,6,157,West Virginia
9/11/2020,10,1569,Missouri
9/10/2020,7,458,Washington
9/10/2020,1,195,Montana
9/10/2020,33,517,Mississippi
9/10/2020,0,48,Wyoming
9/10/2020,32,1222,North Carolina
9/10/2020,7,983,Michigan
9/10/2020,0,26,Maine
9/10/2020,8,503,Maryland
9/10/2020,20,403,Massachusetts
9/10/2020,21,464,Louisiana
9/10/2020,2,333,North Dakota
9/10/2020,22,795,Kentucky
9/10/2020,15,440,Nebraska
9/10/2020,0,0,Kansas
9/10/2020,1,79,New Hampshire
9/10/2020,13,758,Indiana
9/10/2020,5,424,New Jersey
9/10/2020,28,1953,Illinois
9/10/2020,6,87,New Mexico
9/10/2020,17,329,Idaho
9/10/2020,17,288,Nevada
9/10/2020,13,902,Iowa
9/10/2020,7,757,New York
9/10/2020,3,98,Hawaii
9/10/2020,30,1121,Ohio
9/10/2020,13,771,Oklahoma
9/10/2020,76,1836,Georgia
9/10/2020,3,183,Oregon
9/10/2020,213,2583,Florida
9/10/2020,15,587,Pennsylvania
9/10/2020,4,158,Delaware
9/10/2020,1,25,Washington DC
9/10/2020,5,106,Rhode Island
9/10/2020,4,222,Connecticut
9/10/2020,33,379,South Carolina
9/10/2020,14,246,Colorado
9/10/2020,4,263,South Dakota
9/10/2020,137,3338,California
9/10/2020,57,1650,Tennessee
9/10/2020,22,461,Arizona
9/10/2020,161,4018,Texas
9/10/2020,3,346,Utah
9/10/2020,12,548,Arkansas
9/10/2020,11,1236,Virginia
9/10/2020,16,1148,Alabama
9/10/2020,0,125,Alaska
9/10/2020,0,5,Vermont
9/10/2020,10,1592,Wisconsin
9/10/2020,15,381,Minnesota
9/10/2020,3,209,West Virginia
9/10/2020,18,1116,Missouri
9/9/2020,15,913,Wisconsin
9/9/2020,12,1362,Missouri
9/9/2020,7,260,Minnesota
9/9/2020,38,426,Mississippi
9/9/2020,0,21,Maine
9/9/2020,9,336,Maryland
9/9/2020,5,181,Massachusetts
9/9/2020,22,1561,Louisiana
9/9/2020,16,658,Kentucky
9/9/2020,3,87,Montana
9/9/2020,10,496,Kansas
9/9/2020,49,897,North Carolina
9/9/2020,17,705,Indiana
9/9/2020,0,238,North Dakota
9/9/2020,28,1337,Illinois
9/9/2020,2,502,Nebraska
9/9/2020,4,240,Idaho
9/9/2020,0,0,New Hampshire
9/9/2020,14,364,Iowa
9/9/2020,7,323,New Jersey
9/9/2020,2,66,Hawaii
9/9/2020,0,37,New Mexico
9/9/2020,19,154,Nevada
9/9/2020,58,1937,Georgia
9/9/2020,3,576,New York
9/9/2020,202,2056,Florida
